"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"1S10MR0047USMJ06M89Z","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ0623Z3","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ063T2K","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ06AQYS","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05YCSA","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ06AR1S","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QB7B","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QB9R","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QBE2","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QB8P","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QBE5","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0004USMJ08SQXJ","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ063T4J","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05NY9Z","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QBD3","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QBDP","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05XV6D","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ05QB8N","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0047USMJ062411","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10MR0004USMJ08E68N","REC-M710Q-M-I5","","2022-09-16 10:03:08","RN-10733-1","519",
"1S10T7002CUSMJ0D9W7L","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ0D9X8Z","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ0D9V7W","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ09AXMT","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ0CJ6ML","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ0D9V89","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ0CJ3L9","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ07S3T3","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ0CJ6D8","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10T7002CUSMJ07S3SQ","REC-M720Q-M-I5","","2022-09-16 10:03:38","RN-10733-1","519",
"1S10AY008CUSMJ03RU1T","REC-M73-M-I5","","2022-09-16 10:04:19","RN-10733-1","519",
"1S10AY008DUSMJ03APUY","REC-M73-M-I5","","2022-09-16 10:04:19","RN-10733-1","519",
"1S10AY008CUSMJ03R6LE","REC-M73-M-I5","","2022-09-16 10:04:19","RN-10733-1","519",
