"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"2UA5471VCN","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5471V8L","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5481K1D","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5471V9X","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA60519JY","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"MXL4211P22","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5091DPC","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5481YV9","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5481YWY","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA5471V8X","REC-800G1-M-I5","","2022-10-10 10:34:10","RN-10743-1","519",
"2UA54627ZR","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5481YVZ","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5301B2C","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5481YWK","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5251WZC","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5481Z0Q","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5471V81","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA54927TK","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"MXL6051985","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA5251WZ9","REC-800G1-M-I5","","2022-10-10 10:35:00","RN-10743-1","519",
"2UA55305ND","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"MXL4211P30","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA5481YVT","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA4492HHH","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA5471V90","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA4280NNM","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA5471V9K","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA5481Z10","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA5481Z0L","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA5481YXK","REC-800G1-M-I5","","2022-10-10 10:35:44","RN-10743-1","519",
"2UA513246B","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"2UA5132TWX","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"2UA5471V7T","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"2UA5331T64","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"MXL4211P27","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"2UA5471V8Z","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"2UA5491MLQ","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
"2UA5451J5Y","REC-800G1-M-I5","","2022-10-10 10:36:34","RN-10743-1","519",
