"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"1S10T8SHPE00MJ0CPPHX","REC-M720Q-M-I5","","2022-10-10 15:31:20","RN-10749-1","519",
"1S10T8SHPE00MJ0D23FF","REC-M720Q-M-I5","","2022-10-10 15:31:20","RN-10749-1","519",
"1S10RRS4CS00MJ0AGM9E","REC-M920Q-M-I5","","2022-10-10 15:31:53","RN-10749-1","519",
"1S10RRS4CS00MJ09ZQXZ","REC-M920Q-M-I5","","2022-10-10 15:31:53","RN-10749-1","519",
"1S10RS0020USMJ09BET7","REC-M920Q-M-I5","","2022-10-10 15:31:53","RN-10749-1","519",
"1S10RS0020USMJ09BET4","REC-M920Q-M-I5","","2022-10-10 15:31:53","RN-10749-1","519",
"1S10RRS4CS00MJ0AGM92","REC-M920Q-M-I5","","2022-10-10 15:31:53","RN-10749-1","519",
"1S10RRS4CS00MJ0AGM97","REC-M920Q-M-I5","","2022-10-10 15:31:53","RN-10749-1","519",
"8CC8360F2H","REC-800G4-M-I5","","2022-10-10 15:32:13","RN-10749-1","519",
"FWX0T13","REC-5070-M-I5","","2022-10-10 15:33:22","RN-10749-1","519",
"C2BH513","REC-5070-M-I5","","2022-10-10 15:33:22","RN-10749-1","519",
"74X4H13","REC-5070-M-I5","","2022-10-10 15:33:22","RN-10749-1","519",
"F7WK333","REC-5070-M-I5","","2022-10-10 15:33:22","RN-10749-1","519",
