"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"JZNQ2W2","REC-5060-M-I5","","2022-10-11 15:51:53","RN-10747-1","519",
"JZL51S2","REC-5060-M-I5","","2022-10-11 15:51:53","RN-10747-1","519",
"32JNPX2","REC-5060-M-I5","","2022-10-11 15:51:53","RN-10747-1","519",
"304GPX2","REC-5060-M-I5","","2022-10-11 15:51:53","RN-10747-1","519",
"36VJPX2","REC-5060-M-I5","","2022-10-11 15:51:53","RN-10747-1","519",
"JZL6CP2","REC-5060-M-I5","","2022-10-11 15:51:53","RN-10747-1","519",
"4M4MS13","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"FDBK333","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"7457H13","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"520QS13","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"DW1L333","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"C1TYH03","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"D16QY23","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"G0SL513","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"D0DMY23","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"CY4RY23","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"CLMSY23","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"G4BL333","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
"487QS13","REC-5070-M-I5","","2022-10-11 15:52:50","RN-10747-1","519",
