"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"1S10RRS3NF00MJ09GQWK","REC-M920Q-M-I5","","2022-10-11 16:04:00","RN-10746-1","519",
"1S10RS0014USMJ08XS57","REC-M920Q-M-I5","","2022-10-11 16:04:00","RN-10746-1","519",
"MXL0152C7K","REC-600G5-M-I5","","2022-10-11 16:04:41","RN-10746-1","519",
"MXL0152CPV","REC-600G5-M-I5","","2022-10-11 16:04:41","RN-10746-1","519",
"MXL04033BQ","REC-600G5-M-I5","","2022-10-11 16:04:41","RN-10746-1","519",
"CXZSY23","REC-5070-M-I5","","2022-10-11 16:05:47","RN-10746-1","519",
"FX51T13","REC-5070-M-I5","","2022-10-11 16:05:47","RN-10746-1","519",
"C7JFZ23","REC-5070-M-I5","","2022-10-11 16:05:47","RN-10746-1","519",
