"SERIAL","SKU","GRADE","SCAN DATE","SKID ID","EID",
"1S10AAS03R00MJ031U26","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ036XCY","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ00DNHM","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ026JEC","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ02LTP4","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ01YY1C","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ029JGH","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ00P9PR","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ02XW7L","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ03FNWN","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ037MD1","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ00P90E","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ006LUP","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ02FC30","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ00P8ZS","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03P00MJ02Y4T1","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10AAS03R00MJ031U25","REC-M93P-M-I5","","2022-09-26 13:55:33","RN-10741-1","519",
"1S10MUS1JA00MJ06FTMC","REC-M910Q-M-I5","","2022-09-26 13:56:00","RN-10741-1","519",
"5917MR2","REC-7050-M-I5","","2022-09-26 13:56:24","RN-10741-1","519",
"1Q6HMR2","REC-7050-M-I5","","2022-09-26 13:56:24","RN-10741-1","519",
"32SKMR2","REC-7050-M-I5","","2022-09-26 13:56:24","RN-10741-1","519",
"1QTFMR2","REC-7050-M-I5","","2022-09-26 13:56:24","RN-10741-1","519",
"MXL0152FJG","REC-6005-M-I5","","2022-09-26 13:57:10","RN-10741-1","519",
"MXL0403QGH","REC-6005-M-I5","","2022-09-26 13:57:10","RN-10741-1","519",
